GroupID,Size
100,2
101,3
102,2
103,2
104,2
105,2
106,2
107,2
108,4
109,3
110,2
111,3
112,2
113,2
114,2
115,2
116,2
117,3
118,3
119,3
120,3
121,2
122,2
123,3
124,2
125,2
126,3
127,2
128,2
129,3
130,3
131,2
132,3
133,3
134,3
135,3
136,2
137,2
138,3
139,3
140,2
141,2
142,3
143,2
144,2
145,3
146,2
147,2
148,3
149,2
150,3
151,2
152,2
153,2
154,3
155,2
156,3
157,2
158,3
159,2
160,3
161,2
162,2
163,2
164,3
165,2
166,2
167,2
168,2
169,3
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,3
183,2
184,4
185,3
186,4
187,3
188,2
189,2
190,3
191,3
192,2
193,3
194,2
195,4
196,2
197,2
198,3
199,3
200,3
201,2
202,3
203,2
204,2
205,3
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,3
217,2
218,2
219,2
220,2
221,2
222,3
223,2
224,4
225,2
226,2
227,2
228,3
229,2
230,3
231,2
232,2
233,4
234,4
235,5
236,4
237,5
238,2
239,5
240,2
241,5
242,4
